name,country,rank,ranking_band,competitiveness,avg_tuition_usd
Mississippi State University,United States,737,300+,VERY_LOW,40000
Ben-Gurion University of the Negev,Israel,738,300+,VERY_LOW,20000
Qingdao University,China,739,300+,VERY_LOW,20000
Paris Lodron Universität Salzburg,Austria,740,300+,VERY_LOW,20000
University of Aveiro,Portugal,741,300+,VERY_LOW,20000
South China Normal University,China,742,300+,VERY_LOW,20000
Capital Medical University,China,743,300+,VERY_LOW,20000
Yuan Ze University,Taiwan,744,300+,VERY_LOW,20000
Universidade Estadual Paulista (Unesp),Brazil,745,300+,VERY_LOW,20000
University of Bari Aldo Moro,Italy,746,300+,VERY_LOW,20000
UWE Bristol (University of the West of England),United Kingdom,747,300+,VERY_LOW,30000
Otto von Guericke University of Magdeburg,Germany,748,300+,VERY_LOW,2000
Guangdong University of Technology,China,749,300+,VERY_LOW,20000
Government College University Faisalabad,Pakistan,750,300+,VERY_LOW,20000
De Montfort University,United Kingdom,751,300+,VERY_LOW,30000
London Metropolitan University,United Kingdom,752,300+,VERY_LOW,30000
University of the Western Cape,South Africa,753,300+,VERY_LOW,20000
Xi’an Jiaotong-Liverpool University,China,754,300+,VERY_LOW,20000
Polytechnic University of Valencia,Spain,755,300+,VERY_LOW,20000
Texas Tech University,United States,756,300+,VERY_LOW,40000
American University,United States,757,300+,VERY_LOW,40000
Universiti Teknologi Brunei,Brunei Darussalam,758,300+,VERY_LOW,20000
SUNY Binghamton University,United States,759,300+,VERY_LOW,40000
Teesside University,United Kingdom,760,300+,VERY_LOW,30000
Keio University,Japan,761,300+,VERY_LOW,20000
Isfahan University of Medical Sciences,Iran,762,300+,VERY_LOW,20000
Eastern Mediterranean University,Northern Cyprus,763,300+,VERY_LOW,20000
Ton Duc Thang University,Vietnam,764,300+,VERY_LOW,20000
Czech University of Life Sciences Prague (CZU),Czechia,765,300+,VERY_LOW,20000
City University of Macau,Macao,766,300+,VERY_LOW,20000
University of Ha’il,Saudi Arabia,767,300+,VERY_LOW,20000
The University of Aizu,Japan,768,300+,VERY_LOW,20000
University of Parma,Italy,769,300+,VERY_LOW,20000
University of Warsaw,Poland,770,300+,VERY_LOW,20000
VIT University,India,771,300+,VERY_LOW,20000
Parthenope University of Naples,Italy,772,300+,VERY_LOW,20000
Sharda University,India,773,300+,VERY_LOW,20000
Babol University of Medical Sciences,Iran,774,300+,VERY_LOW,20000
Charles Sturt University,Australia,775,300+,VERY_LOW,28000
National Sun Yat-Sen University,Taiwan,776,300+,VERY_LOW,20000
University of Santiago de Compostela,Spain,777,300+,VERY_LOW,20000
National Institute of Technology Rourkela,India,778,300+,VERY_LOW,20000
University of Texas at Arlington,United States,779,300+,VERY_LOW,40000
University of Tabuk,Saudi Arabia,780,300+,VERY_LOW,20000
Kansas State University,United States,781,300+,VERY_LOW,40000
Taif University,Saudi Arabia,782,300+,VERY_LOW,20000
