name,country,rank,ranking_band,competitiveness,avg_tuition_usd
University of Lucknow,India,1831,300+,VERY_LOW,20000
University of Rzeszów,Poland,1832,300+,VERY_LOW,20000
Lagos State University,Nigeria,1833,300+,VERY_LOW,20000
St Petersburg Electrotechnical University (LETI),Russian Federation,1834,300+,VERY_LOW,20000
University of Miskolc,Hungary,1835,300+,VERY_LOW,20000
Vietnam National University (Ho Chi Minh City),Vietnam,1836,300+,VERY_LOW,20000
University of Rwanda,Rwanda,1837,300+,VERY_LOW,20000
Széchenyi István University,Hungary,1838,300+,VERY_LOW,20000
Hasanuddin University,Indonesia,1839,300+,VERY_LOW,20000
University of Karachi,Pakistan,1840,300+,VERY_LOW,20000
Universidad Católica de la Santísima Concepción,Chile,1841,300+,VERY_LOW,20000
Kochi University,Japan,1842,300+,VERY_LOW,20000
Bialystok University of Technology,Poland,1843,300+,VERY_LOW,20000
State University of Ponta Grossa,Brazil,1844,300+,VERY_LOW,20000
Pavlov First Saint Petersburg State Medical University,Russian Federation,1845,300+,VERY_LOW,20000
Samara State Medical University,Russian Federation,1846,300+,VERY_LOW,20000
Universidad Nacional de Asunción,Paraguay,1847,300+,VERY_LOW,20000
University of Sri Jayewardenepura,Sri Lanka,1848,300+,VERY_LOW,20000
Lviv Polytechnic National University,Ukraine,1849,300+,VERY_LOW,20000
Akita University,Japan,1850,300+,VERY_LOW,20000
University of Szczecin,Poland,1851,300+,VERY_LOW,20000
GITAM University,India,1852,300+,VERY_LOW,20000
University of Fukui,Japan,1853,300+,VERY_LOW,20000
Tomsk State University of Control Systems and Radioelectronics,Russian Federation,1854,300+,VERY_LOW,20000
Adelphi University,United States,1855,300+,VERY_LOW,40000
"Federal University of Technology, Owerri",Nigeria,1856,300+,VERY_LOW,20000
Antonio Nariño University,Colombia,1857,300+,VERY_LOW,20000
Naresuan University,Thailand,1858,300+,VERY_LOW,20000
North Khorasan University of Medical Sciences,Iran,1859,300+,VERY_LOW,20000
Saints Cyril and Methodius University in Skopje,North Macedonia,1860,300+,VERY_LOW,20000
Bilecik Şeyh Edebali University,Turkey,1861,300+,VERY_LOW,20000
Kochi University of Technology,Japan,1862,300+,VERY_LOW,20000
Escuela Politécnica Nacional,Ecuador,1863,300+,VERY_LOW,20000
University of Diyala,Iraq,1864,300+,VERY_LOW,20000
Silpakorn University,Thailand,1865,300+,VERY_LOW,20000
Federal University of Pará,Brazil,1866,300+,VERY_LOW,20000
Polytechnic University of Bucharest,Romania,1867,300+,VERY_LOW,20000
University of Passo Fundo (UPF),Brazil,1868,300+,VERY_LOW,20000
Université Kasdi Merbah Ouargla,Algeria,1869,300+,VERY_LOW,20000
Federal Rural University of Pernambuco,Brazil,1870,300+,VERY_LOW,20000
Kharkiv National University of Radio Electronics,Ukraine,1871,300+,VERY_LOW,20000
Samara National Research University (Samara University),Russian Federation,1872,300+,VERY_LOW,20000
Sivas Cumhuriyet University,Turkey,1873,300+,VERY_LOW,20000
Université 8 Mai 1945 Guelma,Algeria,1874,300+,VERY_LOW,20000
Grigore T. Popa University of Medicine and Pharmacy,Romania,1875,300+,VERY_LOW,20000
M S Ramaiah University of Applied Sciences (RUAS),India,1876,300+,VERY_LOW,20000
Erzincan Binali Yıldırım University,Turkey,1877,300+,VERY_LOW,20000
Sikkim Manipal University,India,1878,300+,VERY_LOW,20000
Niğde Ömer Halisdemir University,Turkey,1879,300+,VERY_LOW,20000
Belarusian State University,Belarus,1880,300+,VERY_LOW,20000
Universitas Sumatera Utara,Indonesia,1881,300+,VERY_LOW,20000
National Taipei University,Taiwan,1882,300+,VERY_LOW,20000
Universidade do Estado de Santa Catarina,Brazil,1883,300+,VERY_LOW,20000
University of Science and Technology of Oran Mohamed-Boudiaf,Algeria,1884,300+,VERY_LOW,20000
Misr University for Science and Technology,Egypt,1885,300+,VERY_LOW,20000
Sakarya University of Applied Sciences,Turkey,1886,300+,VERY_LOW,20000
Universidade Federal de Sergipe,Brazil,1887,300+,VERY_LOW,20000
Oita University,Japan,1888,300+,VERY_LOW,20000
University of Medellín,Colombia,1889,300+,VERY_LOW,20000
University of Mataram,Indonesia,1890,300+,VERY_LOW,20000
University of Namibia,Namibia,1891,300+,VERY_LOW,20000
Mustansiriyah University,Iraq,1892,300+,VERY_LOW,20000
Bolu Abant Izzet Baysal University,Turkey,1893,300+,VERY_LOW,20000
Alberto Hurtado University,Chile,1894,300+,VERY_LOW,20000
Universitas Andalas,Indonesia,1895,300+,VERY_LOW,20000
Mapúa University,Philippines,1896,300+,VERY_LOW,20000
University of Sarajevo,Bosnia and Herzegovina,1897,300+,VERY_LOW,20000
"Soochow University, Taiwan",Taiwan,1898,300+,VERY_LOW,20000
Technical University of Sofia,Bulgaria,1899,300+,VERY_LOW,20000
Universiti Kuala Lumpur,Malaysia,1900,300+,VERY_LOW,20000
The University of Danang,Vietnam,1901,300+,VERY_LOW,20000
University of Dar es Salaam,Tanzania,1902,300+,VERY_LOW,20000
University of Valparaíso,Chile,1903,300+,VERY_LOW,20000
National Chi Nan University,Taiwan,1904,300+,VERY_LOW,20000
University of Phayao,Thailand,1905,300+,VERY_LOW,20000
University of Shizuoka,Japan,1906,300+,VERY_LOW,20000
Kirikkale University,Turkey,1907,300+,VERY_LOW,20000
V.N. Karazin Kharkiv National University,Ukraine,1908,300+,VERY_LOW,20000
University of Birjand,Iran,1909,300+,VERY_LOW,20000
University of Montenegro,Montenegro,1910,300+,VERY_LOW,20000
PSG College of Technology,India,1911,300+,VERY_LOW,20000
Adıyaman University,Turkey,1912,300+,VERY_LOW,20000
Kwansei Gakuin University,Japan,1913,300+,VERY_LOW,20000
Burdur Mehmet Akif Ersoy University,Turkey,1914,300+,VERY_LOW,20000
National Pingtung University of Science and Technology,Taiwan,1915,300+,VERY_LOW,20000
AIIMS Rishikesh,India,1916,300+,VERY_LOW,20000
Çankırı Karatekin University,Turkey,1917,300+,VERY_LOW,20000
University of Los Lagos,Chile,1918,300+,VERY_LOW,20000
Latvia University of Life Sciences and Technologies,Latvia,1919,300+,VERY_LOW,20000
Bursa Uludağ University,Turkey,1920,300+,VERY_LOW,20000
Ming Chuan University,Taiwan,1921,300+,VERY_LOW,20000
NED University of Engineering and Technology,Pakistan,1922,300+,VERY_LOW,20000
Atma Jaya Catholic University of Indonesia,Indonesia,1923,300+,VERY_LOW,20000
Georgian Technical University,Georgia,1924,300+,VERY_LOW,20000
Matej Bel University,Slovakia,1925,300+,VERY_LOW,20000
Sri Ramachandra Institute of Higher Education and Research,India,1926,300+,VERY_LOW,20000
University of San Martín de Porres,Peru,1927,300+,VERY_LOW,20000
Mendeleev University of Chemical Technology,Russian Federation,1928,300+,VERY_LOW,20000
Universitas Muhammadiyah Yogyakarta,Indonesia,1929,300+,VERY_LOW,20000
Sophia University,Japan,1930,300+,VERY_LOW,20000
National Chiayi University,Taiwan,1931,300+,VERY_LOW,20000
Universidad Autónoma de Querétaro,Mexico,1932,300+,VERY_LOW,20000
University of Taipei,Taiwan,1933,300+,VERY_LOW,20000
State University of Santa Cruz,Brazil,1934,300+,VERY_LOW,20000
Universidad San Ignacio de Loyola,Peru,1935,300+,VERY_LOW,20000
University of Mascara,Algeria,1936,300+,VERY_LOW,20000
University of Craiova,Romania,1937,300+,VERY_LOW,20000
Jianghan University,China,1938,300+,VERY_LOW,20000
Belgorod State National Research University,Russian Federation,1939,300+,VERY_LOW,20000
Pontifical Catholic University of Argentina,Argentina,1940,300+,VERY_LOW,20000
KLE Academy of Higher Education and Research,India,1941,300+,VERY_LOW,20000
Tokyo University of Agriculture,Japan,1942,300+,VERY_LOW,20000
Kocaeli University,Turkey,1943,300+,VERY_LOW,20000
Adana Alparslan Türkeş Science and Technology University,Turkey,1944,300+,VERY_LOW,20000
Mahasarakham University,Thailand,1945,300+,VERY_LOW,20000
Afyonkarahisar Health Sciences University,Turkey,1946,300+,VERY_LOW,20000
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),Brazil,1947,300+,VERY_LOW,20000
Jean Moulin University – Lyon 3,France,1948,300+,VERY_LOW,20000
Mersin University,Turkey,1949,300+,VERY_LOW,20000
Muş Alparslan University,Turkey,1950,300+,VERY_LOW,20000
Presidency University,India,1951,300+,VERY_LOW,20000
Don State Technical University,Russian Federation,1952,300+,VERY_LOW,20000
Universidad Pontificia Bolivariana (UPB),Colombia,1953,300+,VERY_LOW,20000
Ionian University,Greece,1954,300+,VERY_LOW,20000
Universitas Negeri Jakarta,Indonesia,1955,300+,VERY_LOW,20000
Tikrit University,Iraq,1956,300+,VERY_LOW,20000
National University of Córdoba,Argentina,1957,300+,VERY_LOW,20000
Gheorghe Asachi Technical University of Iaşi,Romania,1958,300+,VERY_LOW,20000
Gdynia Maritime University,Poland,1959,300+,VERY_LOW,20000
Thiagarajar College of Engineering,India,1960,300+,VERY_LOW,20000
Eskişehir Technical University,Turkey,1961,300+,VERY_LOW,20000
Azerbaijan State Oil and Industry University,Azerbaijan,1962,300+,VERY_LOW,20000
"Federal University of Agriculture, Abeokuta",Nigeria,1963,300+,VERY_LOW,20000
Afyon Kocatepe University,Turkey,1964,300+,VERY_LOW,20000
Mindanao State University – Iligan Institute of Technology,Philippines,1965,300+,VERY_LOW,20000
Zonguldak Bülent Ecevit University,Turkey,1966,300+,VERY_LOW,20000
Irkutsk National Research Technical University,Russian Federation,1967,300+,VERY_LOW,20000
University of Hyogo,Japan,1968,300+,VERY_LOW,20000
Universitas Muhammadiyah Malang,Indonesia,1968,300+,VERY_LOW,20000
University of Biskra,Algeria,1970,300+,VERY_LOW,20000
Universitas Negeri Surabaya,Indonesia,1971,300+,VERY_LOW,20000
Islamic Science University of Malaysia (USIM),Malaysia,1972,300+,VERY_LOW,20000
Islamic University of Indonesia,Indonesia,1973,300+,VERY_LOW,20000
İzmir Kâtip Çelebi University,Turkey,1974,300+,VERY_LOW,20000
National Ilan University,Taiwan,1975,300+,VERY_LOW,20000
Srinakharinwirot University,Thailand,1976,300+,VERY_LOW,20000
Central University of Venezuela,Venezuela,1977,300+,VERY_LOW,20000
University of Thi-Qar,Iraq,1978,300+,VERY_LOW,20000
Ekiti State University,Nigeria,1979,300+,VERY_LOW,20000
Rzeszów University of Technology,Poland,1980,300+,VERY_LOW,20000
East China University of Technology,China,1981,300+,VERY_LOW,20000
EAFIT University,Colombia,1982,300+,VERY_LOW,20000
Çanakkale Onsekiz Mart University,Turkey,1983,300+,VERY_LOW,20000
University of Port Harcourt,Nigeria,1984,300+,VERY_LOW,20000
Temuco Catholic University,Chile,1985,300+,VERY_LOW,20000
University of Caxias do Sul,Brazil,1986,300+,VERY_LOW,20000
Dicle University,Turkey,1987,300+,VERY_LOW,20000
Perm National Research Polytechnic University,Russian Federation,1988,300+,VERY_LOW,20000
Université Cheikh Anta Diop de Dakar (UCAD),Senegal,1989,300+,VERY_LOW,20000
University of Abou Bekr Belkaïd Tlemcen,Algeria,1990,300+,VERY_LOW,20000
Başkent University,Turkey,1991,300+,VERY_LOW,20000
Universidad del Valle,Colombia,1992,300+,VERY_LOW,20000
Pontificia Universidad Católica del Ecuador,Ecuador,1993,300+,VERY_LOW,20000
Kırşehir Ahi Evran University,Turkey,1994,300+,VERY_LOW,20000
Universidad Panamericana (UP),Mexico,1995,300+,VERY_LOW,20000
Dr. M.G.R. Educational and Research Institute,India,1996,300+,VERY_LOW,20000
Bozok University,Turkey,1997,300+,VERY_LOW,20000
Üsküdar University,Turkey,1998,300+,VERY_LOW,20000
Yerevan State University,Armenia,1999,300+,VERY_LOW,20000
National Technical University Kharkiv Polytechnic Institute,Ukraine,2000,300+,VERY_LOW,20000
Ordu University,Turkey,2001,300+,VERY_LOW,20000
Kharkiv Aviation Institute,Ukraine,2002,300+,VERY_LOW,20000
National University of Cuyo,Argentina,2003,300+,VERY_LOW,20000
Dumlupinar University,Turkey,2004,300+,VERY_LOW,20000
Kazakh National Agrarian Research University,Kazakhstan,2005,300+,VERY_LOW,20000
University of Kelaniya,Sri Lanka,2006,300+,VERY_LOW,20000
Petersburg State Transport University,Russian Federation,2007,300+,VERY_LOW,20000
Universidade Estadual de Feira de Santana (UEFS),Brazil,2008,300+,VERY_LOW,20000
Uşak University,Turkey,2009,300+,VERY_LOW,20000
Mackenzie Presbyterian University,Brazil,2010,300+,VERY_LOW,20000
Tokyo City University,Japan,2011,300+,VERY_LOW,20000
Novosibirsk State Technical University,Russian Federation,2012,300+,VERY_LOW,20000
Giresun University,Turkey,2013,300+,VERY_LOW,20000
Larbi Tebessi University,Algeria,2014,300+,VERY_LOW,20000
National University of Kaohsiung,Taiwan,2015,300+,VERY_LOW,20000
Jan Evangelista Purkyně University,Czechia,2016,300+,VERY_LOW,20000
University of Prishtina,Kosovo,2017,300+,VERY_LOW,20000
University of Béjaïa,Algeria,2018,300+,VERY_LOW,20000
University of Laghouat,Algeria,2019,300+,VERY_LOW,20000
Hitit University,Turkey,2020,300+,VERY_LOW,20000
Instituto Politécnico Nacional (IPN),Mexico,2021,300+,VERY_LOW,20000
North-Caucasus Federal University,Russian Federation,2022,300+,VERY_LOW,20000
Oran 1 University,Algeria,2023,300+,VERY_LOW,20000
Benemérita Universidad Autónoma de Puebla,Mexico,2024,300+,VERY_LOW,20000
Vasyl Stefanyk Carpathian National University,Ukraine,2025,300+,VERY_LOW,20000
Aksaray University,Turkey,2026,300+,VERY_LOW,20000
Chubu University,Japan,2027,300+,VERY_LOW,20000
University of Cuenca,Ecuador,2028,300+,VERY_LOW,20000
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,Ukraine,2029,300+,VERY_LOW,20000
Mugla Sitki Kocman University,Turkey,2030,300+,VERY_LOW,20000
North-Eastern Federal University,Russian Federation,2031,300+,VERY_LOW,20000
Universidad Científica del Sur,Peru,2032,300+,VERY_LOW,20000
Manisa Celal Bayar University,Turkey,2033,300+,VERY_LOW,20000
Bursa Technical University,Turkey,2034,300+,VERY_LOW,20000
Jan Kochanowski University in Kielce,Poland,2035,300+,VERY_LOW,20000
National University of Mongolia,Mongolia,2036,300+,VERY_LOW,20000
Polytechnic Institute of Setúbal,Portugal,2037,300+,VERY_LOW,20000
Privolzhsky Research Medical University,Russian Federation,2038,300+,VERY_LOW,20000
Petrozavodsk State University,Russian Federation,2039,300+,VERY_LOW,20000
Payame Noor University,Iran,2040,300+,VERY_LOW,20000
Kazan National Research Technological University,Russian Federation,2041,300+,VERY_LOW,20000
Ibaraki University,Japan,2042,300+,VERY_LOW,20000
North-Western State Medical University named after I.I. Mechnikov,Russian Federation,2043,300+,VERY_LOW,20000
Volgograd State University,Russian Federation,2044,300+,VERY_LOW,20000
Pamukkale University,Turkey,2045,300+,VERY_LOW,20000
M’Hamed Bougara University of Boumerdès,Algeria,2046,300+,VERY_LOW,20000
Universidad Nacional Agraria La Molina,Peru,2047,300+,VERY_LOW,20000
Ivane Javakhishvili Tbilisi State University,Georgia,2048,300+,VERY_LOW,20000
University of Kerbala,Iraq,2049,300+,VERY_LOW,20000
Chuo University,Japan,2049,300+,VERY_LOW,20000
Nihon University,Japan,2051,300+,VERY_LOW,20000
"National Pirogov Memorial Medical University, Vinnytsya",Ukraine,2052,300+,VERY_LOW,20000
National University of Life and Environmental Sciences of Ukraine,Ukraine,2053,300+,VERY_LOW,20000
Université Frères Mentouri Constantine 1,Algeria,2054,300+,VERY_LOW,20000
Saint Petersburg State Pediatric Medical University,Russian Federation,2055,300+,VERY_LOW,20000
Alanya Alaaddin Keykubat University,Turkey,2056,300+,VERY_LOW,20000
Middle Technical University,Iraq,2057,300+,VERY_LOW,20000
Universidad Nacional Mayor de San Marcos,Peru,2058,300+,VERY_LOW,20000
National University of Medical Sciences (NUMS),Pakistan,2059,300+,VERY_LOW,20000
National United University,Taiwan,2060,300+,VERY_LOW,20000
Tecnológico de Costa Rica,Costa Rica,2061,300+,VERY_LOW,20000
Herzen State Pedagogical University of Russia,Russian Federation,2062,300+,VERY_LOW,20000
University of Mosul,Iraq,2063,300+,VERY_LOW,20000
University Mohamed Boudiaf of M’Sila,Algeria,2064,300+,VERY_LOW,20000
Hue University,Vietnam,2065,300+,VERY_LOW,20000
Ceará State University,Brazil,2066,300+,VERY_LOW,20000
Universidade Nove de Julho (Uninove),Brazil,2067,300+,VERY_LOW,20000
Universidad Industrial de Santander (UIS),Colombia,2068,300+,VERY_LOW,20000
Doshisha University,Japan,2069,300+,VERY_LOW,20000
Chinese Culture University,Taiwan,2070,300+,VERY_LOW,20000
National University of Costa Rica,Costa Rica,2071,300+,VERY_LOW,20000
University of Guadalajara,Mexico,2072,300+,VERY_LOW,20000
Gubkin Russian State University of Oil and Gas,Russian Federation,2073,300+,VERY_LOW,20000
Utsunomiya University,Japan,2074,300+,VERY_LOW,20000
Ufa State Petroleum Technological University,Russian Federation,2075,300+,VERY_LOW,20000
Anáhuac University,Mexico,2076,300+,VERY_LOW,20000
Trakya University,Turkey,2077,300+,VERY_LOW,20000
University of Sciences and Technology Houari Boumediene,Algeria,2078,300+,VERY_LOW,20000
Beykent University,Turkey,2079,300+,VERY_LOW,20000
Ryukoku University,Japan,2080,300+,VERY_LOW,20000
Hatay Mustafa Kemal University,Turkey,2081,300+,VERY_LOW,20000
Bernardo O’Higgins University,Chile,2082,300+,VERY_LOW,20000
Ogarev Mordovia State University,Russian Federation,2083,300+,VERY_LOW,20000
Blida 1 University,Algeria,2084,300+,VERY_LOW,20000
Ovidius University of Constanța,Romania,2085,300+,VERY_LOW,20000
CES University,Colombia,2086,300+,VERY_LOW,20000
University of Bío-Bío,Chile,2087,300+,VERY_LOW,20000
Tokyo University of Technology,Japan,2088,300+,VERY_LOW,20000
Osaka Institute of Technology,Japan,2089,300+,VERY_LOW,20000
Universidad Santo Tomás,Chile,2090,300+,VERY_LOW,20000
Russian State University for the Humanities,Russian Federation,2091,300+,VERY_LOW,20000
Ivan Franko National University of Lviv,Ukraine,2092,300+,VERY_LOW,20000
Kansai University,Japan,2093,300+,VERY_LOW,20000
Voronezh State University,Russian Federation,2094,300+,VERY_LOW,20000
Bogomolets National Medical University,Ukraine,2095,300+,VERY_LOW,20000
Ibn Khaldoun University,Algeria,2096,300+,VERY_LOW,20000
Azerbaijan Technical University (AzTU),Azerbaijan,2097,300+,VERY_LOW,20000
Burapha University,Thailand,2098,300+,VERY_LOW,20000
Universidade Federal do Maranhão (UFMA),Brazil,2099,300+,VERY_LOW,20000
University of Guanajuato,Mexico,2100,300+,VERY_LOW,20000
Volgograd State Medical University,Russian Federation,2101,300+,VERY_LOW,20000
Sri Lanka Institute of Information Technology,Sri Lanka,2102,300+,VERY_LOW,20000
State Islamic University of Sunan Gunung Djati Bandung,Indonesia,2103,300+,VERY_LOW,20000
"University of the Andes, Venezuela",Venezuela,2104,300+,VERY_LOW,20000
University Abdelhamid Ibn Badis Mostaganem,Algeria,2105,300+,VERY_LOW,20000
Universidad Nacional del Litoral,Argentina,2106,300+,VERY_LOW,20000
Kanagawa University,Japan,2107,300+,VERY_LOW,20000
Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,2108,300+,VERY_LOW,20000
Odesa I.I. Mechnikov National University,Ukraine,2109,300+,VERY_LOW,20000
University of Jijel,Algeria,2110,300+,VERY_LOW,20000
Kogakuin University,Japan,2111,300+,VERY_LOW,20000
Okayama University of Science,Japan,2112,300+,VERY_LOW,20000
Universidad Autónoma de Nuevo León (UANL),Mexico,2113,300+,VERY_LOW,20000
Universidad Autónoma de Coahuila,Mexico,2114,300+,VERY_LOW,20000
Toyama Prefectural University,Japan,2115,300+,VERY_LOW,20000
University of Fortaleza (UNIFOR),Brazil,2116,300+,VERY_LOW,20000
University of Lampung,Indonesia,2117,300+,VERY_LOW,20000
Voronezh State Technical University,Russian Federation,2118,300+,VERY_LOW,20000
Tokyo Denki University,Japan,2119,300+,VERY_LOW,20000
Northern Technical University,Iraq,2120,300+,VERY_LOW,20000
Al-Furat Al-Awsat Technical University,Iraq,2121,300+,VERY_LOW,20000
Universidad Autónoma del Estado de Mexico (UAEMex),Mexico,2122,300+,VERY_LOW,20000
Aoyama Gakuin University,Japan,2123,300+,VERY_LOW,20000
Meiji University,Japan,2124,300+,VERY_LOW,20000
University of Cauca,Colombia,2125,300+,VERY_LOW,20000
Volgograd State Technical University,Russian Federation,2126,300+,VERY_LOW,20000
Russian University of Transport (MIIT),Russian Federation,2127,300+,VERY_LOW,20000
Meijo University,Japan,2128,300+,VERY_LOW,20000
Ukrainian State University of Science and Technologies,Ukraine,2129,300+,VERY_LOW,20000
University of Pernambuco,Brazil,2130,300+,VERY_LOW,20000
MIREA - Russian Technological University,Russian Federation,2131,300+,VERY_LOW,20000
Pontifical Catholic University of Minas Gerais,Brazil,2132,300+,VERY_LOW,20000
Tekirdağ Namık Kemal University,Turkey,2133,300+,VERY_LOW,20000
Northern (Arctic) Federal University named after M.V. Lomonosov,Russian Federation,2134,300+,VERY_LOW,20000
Universidad Distrital Francisco José de Caldas,Colombia,2135,300+,VERY_LOW,20000
Autonomous University of Baja California,Mexico,2136,300+,VERY_LOW,20000
Trakia University,Bulgaria,2137,300+,VERY_LOW,20000
University of Sonora,Mexico,2138,300+,VERY_LOW,20000
Toyo University,Japan,2139,300+,VERY_LOW,20000
Paisii Hilendarski University of Plovdiv,Bulgaria,2140,300+,VERY_LOW,20000
Universidad Autónoma de Yucatán,Mexico,2141,300+,VERY_LOW,20000
Perm State University,Russian Federation,2142,300+,VERY_LOW,20000
Universidad Politécnica Salesiana,Ecuador,2143,300+,VERY_LOW,20000
Chiba Institute of Technology,Japan,2144,300+,VERY_LOW,20000
Nizhny Novgorod State Technical University n.a. R.E. Alekseev,Russian Federation,2145,300+,VERY_LOW,20000
Federal University Oye-Ekiti,Nigeria,2146,300+,VERY_LOW,20000
State University of Southwestern Bahia (UESB),Brazil,2147,300+,VERY_LOW,20000
Balıkesir University,Turkey,2148,300+,VERY_LOW,20000
Universidad Técnica Particular de Loja,Ecuador,2149,300+,VERY_LOW,20000
Kazan State Power Engineering University,Russian Federation,2150,300+,VERY_LOW,20000
Universidad Michoacana de San Nicolás de Hidalgo,Mexico,2151,300+,VERY_LOW,20000
University of Kirkuk,Iraq,2152,300+,VERY_LOW,20000
University of Batna 2,Algeria,2153,300+,VERY_LOW,20000
Yuriy Fedkovych Chernivtsi National University,Ukraine,2154,300+,VERY_LOW,20000
Siberian State Medical University,Russian Federation,2155,300+,VERY_LOW,20000
Damascus University,Syria,2156,300+,VERY_LOW,20000
National Formosa University,Taiwan,2157,300+,VERY_LOW,20000
Ziane Achour University of Djelfa,Algeria,2158,300+,VERY_LOW,20000
National University of Rosario (UNR),Argentina,2159,300+,VERY_LOW,20000
"Delta State University, Abraka",Nigeria,2160,300+,VERY_LOW,20000
University of Basrah,Iraq,2161,300+,VERY_LOW,20000
Nueva Granada Military University,Colombia,2162,300+,VERY_LOW,20000
Universidad Autónoma del Estado de Hidalgo,Mexico,2163,300+,VERY_LOW,20000
Universitas Sriwijaya,Indonesia,2164,300+,VERY_LOW,20000
Halu Oleo University,Indonesia,2165,300+,VERY_LOW,20000
Technological University of Pereira,Colombia,2166,300+,VERY_LOW,20000
Samara State Technical University,Russian Federation,2167,300+,VERY_LOW,20000
Universidad de las Fuerzas Armadas – ESPE,Ecuador,2168,300+,VERY_LOW,20000
Oles Honchar Dnipro National University,Ukraine,2169,300+,VERY_LOW,20000
Université Mouloud Mammeri de Tizi-Ouzou,Algeria,2170,300+,VERY_LOW,20000
Universidad Peruana de Ciencias Aplicadas (UPC),Peru,2171,300+,VERY_LOW,20000
Kemerovo State University,Russian Federation,2172,300+,VERY_LOW,20000
Universidad Técnica de Manabí,Ecuador,2173,300+,VERY_LOW,20000
Uzhhorod National University,Ukraine,2174,300+,VERY_LOW,20000
Autonomous University of Guerrero (UAGro),Mexico,2175,300+,VERY_LOW,20000
Regional Autonomous University of the Andes (UNIANDES),Ecuador,2176,300+,VERY_LOW,20000
Jember University,Indonesia,2177,300+,VERY_LOW,20000
National University of Quilmes,Argentina,2178,300+,VERY_LOW,20000
State University of Bahia,Brazil,2179,300+,VERY_LOW,20000
Irkutsk State University,Russian Federation,2180,300+,VERY_LOW,20000
Penza State University,Russian Federation,2181,300+,VERY_LOW,20000
Industrial University of Tyumen,Russian Federation,2182,300+,VERY_LOW,20000
Ivanovo State University of Chemistry and Technology,Russian Federation,2183,300+,VERY_LOW,20000
Universidade Estadual do Maranhão,Brazil,2184,300+,VERY_LOW,20000
Chelyabinsk State University,Russian Federation,2185,300+,VERY_LOW,20000
Universidade Federal Rural do Semi-Arido,Brazil,2186,300+,VERY_LOW,20000
Instituto Tecnológico Metropolitano,Colombia,2187,300+,VERY_LOW,20000
Universidad Pedagogica y Tecnologica de Colombia - UPTC,Colombia,2188,300+,VERY_LOW,20000
Omsk State Technical University,Russian Federation,2189,300+,VERY_LOW,20000
"Federal Institute of Education, Science and Technology of São Paulo",Brazil,2190,300+,VERY_LOW,20000
Tula State University,Russian Federation,2191,300+,VERY_LOW,20000
